Profile;Weekday;Hour;Occupancy;Lighting;Appliances
[Assembly] Auditorium;True;16;0.2;0.05;0.5
[Assembly] Auditorium;True;17;0.5;0.2;0.5
[Assembly] Auditorium;True;18;0.5;0.2;0.7
[Assembly] Auditorium;True;19;0.5;0.2;0.7
[Assembly] Auditorium;True;20;0.8;0.2;0.8
[Assembly] Auditorium;True;21;0.8;0.2;0.8
[Assembly] Auditorium;True;22;0.8;0.2;0.8
[Assembly] Auditorium;True;23;1;0.15;0.6
[Assembly] Auditorium;True;24;1;0.15;0.6
[Assembly] Auditorium;False;1;1;0;0.5
[Assembly] Auditorium;False;2;1;0;0.5
[Assembly] Auditorium;False;3;1;0;0.5
[Assembly] Auditorium;False;4;1;0;0.5
[Assembly] Auditorium;False;5;1;0;0.5
[Assembly] Auditorium;False;6;1;0;0.5
[Assembly] Auditorium;False;7;0.8;0.15;0.5
[Assembly] Auditorium;False;8;0.8;0.15;0.7
[Assembly] Auditorium;False;9;0.8;0.15;0.7
[Assembly] Auditorium;False;10;0.8;0.15;0.5
[Assembly] Auditorium;False;11;0.8;0.05;0.5
[Assembly] Auditorium;False;12;0.8;0.05;0.6
[Assembly] Auditorium;False;13;0.8;0.05;0.6
[Assembly] Auditorium;False;14;0.8;0.05;0.6
[Assembly] Auditorium;False;15;0.8;0.05;0.6
[Assembly] Auditorium;False;16;0.8;0.05;0.5
[Assembly] Auditorium;False;17;0.8;0.2;0.5
[Assembly] Auditorium;False;18;0.8;0.2;0.7
[Assembly] Auditorium;False;19;0.8;0.2;0.7
[Assembly] Auditorium;False;20;0.8;0.2;0.8
[Assembly] Auditorium;False;21;0.8;0.2;0.8
[Assembly] Auditorium;False;22;0.8;0.2;0.8
[Assembly] Auditorium;False;23;1;0.15;0.6
[Assembly] Auditorium;False;24;1;0.15;0.6
[Assembly] Multifunctional;True;1;1;0;0.5
[Assembly] Multifunctional;True;2;1;0;0.5
[Assembly] Multifunctional;True;3;1;0;0.5
[Assembly] Multifunctional;True;4;1;0;0.5
[Assembly] Multifunctional;True;5;1;0;0.5
[Assembly] Multifunctional;True;6;1;0;0.5
[Assembly] Multifunctional;True;7;0.5;0.15;0.5
[Assembly] Multifunctional;True;8;0.5;0.15;0.7
[Assembly] Multifunctional;True;9;0.5;0.15;0.7
[Assembly] Multifunctional;True;10;0.1;0.15;0.5
[Assembly] Multifunctional;True;11;0.1;0.05;0.5
[Assembly] Multifunctional;True;12;0.1;0.05;0.6
[Assembly] Multifunctional;True;13;0.1;0.05;0.6
